Date and Hour,File Worked On,Time Spent on File (seconds),App Used
2024-11-20 18:00,Документ1,0.107926,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.115324,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10717,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110722,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.187918,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109787,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.103818,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.110398,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108202,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106964,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108426,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111807,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108653,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109652,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.105119,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107239,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107027,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.113365,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106162,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109836,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106662,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.111485,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.152184,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109102,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108193,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107368,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106389,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108523,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108123,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106265,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10869,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107275,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109677,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107398,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.196011,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109244,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10814,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108916,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108751,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108523,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.106952,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10981,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108695,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108561,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.10825,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.200811,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109564,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109061,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.108777,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109432,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109012,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.107813,WINWORD.EXE,Документ1
2024-11-20 18:00,Документ1,0.109936,WINWORD.EXE,Документ1
